PageNumber,PageCount,ResultCount,ResultDateTime
1,1,2939,2019-09-06T14:45:52.6099797-06:00
abbrev,parameter,measDateTime,measValue,measUnit,flagA,flagB,modified
PLAKERCO,DISCHRG,2019-08-08T05:30:00.0000000,337,cfs,O,,2019-08-08T05:39:26.5030000
PLAKERCO,DISCHRG,2019-08-08T05:45:00.0000000,345,cfs,O,,2019-08-08T06:39:47.7770000
PLAKERCO,DISCHRG,2019-08-08T06:00:00.0000000,337,cfs,O,,2019-08-08T06:39:47.7930000
PLAKERCO,DISCHRG,2019-08-08T06:15:00.0000000,341,cfs,O,,2019-08-08T06:39:47.7930000
PLAKERCO,DISCHRG,2019-08-08T06:30:00.0000000,341,cfs,O,,2019-08-08T06:39:47.7930000
PLAKERCO,DISCHRG,2019-08-08T06:45:00.0000000,337,cfs,O,,2019-08-08T07:39:49.2430000
PLAKERCO,DISCHRG,2019-08-08T07:00:00.0000000,334,cfs,O,,2019-08-08T07:39:49.2430000
PLAKERCO,DISCHRG,2019-08-08T07:15:00.0000000,337,cfs,O,,2019-08-08T07:39:49.2430000
PLAKERCO,DISCHRG,2019-08-08T07:30:00.0000000,326,cfs,O,,2019-08-08T07:39:49.2600000
PLAKERCO,DISCHRG,2019-08-08T07:45:00.0000000,326,cfs,O,,2019-08-08T08:39:50.4830000
PLAKERCO,DISCHRG,2019-08-08T08:00:00.0000000,326,cfs,O,,2019-08-08T08:39:50.5000000
PLAKERCO,DISCHRG,2019-08-08T08:15:00.0000000,330,cfs,O,,2019-08-08T08:39:50.5000000
PLAKERCO,DISCHRG,2019-08-08T08:30:00.0000000,326,cfs,O,,2019-08-08T08:39:50.5000000
PLAKERCO,DISCHRG,2019-08-08T08:45:00.0000000,326,cfs,O,,2019-08-08T09:39:52.0200000
PLAKERCO,DISCHRG,2019-08-08T09:00:00.0000000,334,cfs,O,,2019-08-08T09:39:52.0200000
PLAKERCO,DISCHRG,2019-08-08T09:15:00.0000000,334,cfs,O,,2019-08-08T09:39:52.0370000
PLAKERCO,DISCHRG,2019-08-08T09:30:00.0000000,330,cfs,O,,2019-08-08T09:39:52.0370000
PLAKERCO,DISCHRG,2019-08-08T09:45:00.0000000,330,cfs,O,,2019-08-08T10:39:53.4300000
PLAKERCO,DISCHRG,2019-08-08T10:00:00.0000000,334,cfs,O,,2019-08-08T10:39:53.4300000
PLAKERCO,DISCHRG,2019-08-08T10:15:00.0000000,330,cfs,O,,2019-08-08T10:39:53.4470000
PLAKERCO,DISCHRG,2019-08-08T10:30:00.0000000,330,cfs,O,,2019-08-08T10:39:53.4470000
PLAKERCO,DISCHRG,2019-08-08T10:45:00.0000000,330,cfs,O,,2019-08-08T11:39:54.8130000
PLAKERCO,DISCHRG,2019-08-08T11:00:00.0000000,326,cfs,O,,2019-08-08T11:39:54.8130000
PLAKERCO,DISCHRG,2019-08-08T11:15:00.0000000,326,cfs,O,,2019-08-08T11:39:54.8130000
PLAKERCO,DISCHRG,2019-08-08T11:30:00.0000000,322,cfs,O,,2019-08-08T11:39:54.8130000
PLAKERCO,DISCHRG,2019-08-08T11:45:00.0000000,330,cfs,O,,2019-08-08T12:39:36.1000000
PLAKERCO,DISCHRG,2019-08-08T12:00:00.0000000,326,cfs,O,,2019-08-08T12:39:36.1000000
PLAKERCO,DISCHRG,2019-08-08T12:15:00.0000000,326,cfs,O,,2019-08-08T12:39:36.1000000
PLAKERCO,DISCHRG,2019-08-08T12:30:00.0000000,322,cfs,O,,2019-08-08T12:39:36.1000000
PLAKERCO,DISCHRG,2019-08-08T12:45:00.0000000,322,cfs,O,,2019-08-08T13:39:37.4870000
PLAKERCO,DISCHRG,2019-08-08T13:00:00.0000000,319,cfs,O,,2019-08-08T13:39:37.4870000
PLAKERCO,DISCHRG,2019-08-08T13:15:00.0000000,319,cfs,O,,2019-08-08T13:39:37.5030000
PLAKERCO,DISCHRG,2019-08-08T13:30:00.0000000,312,cfs,O,,2019-08-08T13:39:37.5030000
PLAKERCO,DISCHRG,2019-08-08T13:45:00.0000000,319,cfs,O,,2019-08-08T14:39:38.6700000
PLAKERCO,DISCHRG,2019-08-08T14:00:00.0000000,312,cfs,O,,2019-08-08T14:39:38.6700000
PLAKERCO,DISCHRG,2019-08-08T14:15:00.0000000,312,cfs,O,,2019-08-08T14:39:38.6700000
PLAKERCO,DISCHRG,2019-08-08T14:30:00.0000000,315,cfs,O,,2019-08-08T14:39:38.6870000
